genus,n_hyb,n_neo
Rosenbergiodendron,NA,1
Roseodendron,NA,1
Rostraria,NA,3
Rotala,NA,6
Rotheca,NA,3
Rothia,NA,1
Rothmannia,NA,1
Rottboellia,NA,3
Rousselia,NA,1
Roystonea,NA,2
Rubia,NA,2
Rudbeckia,NA,16
Rudgea,NA,1
Ruellia,NA,12
Rumohra,NA,1
Rungia,NA,1
Ruppia,NA,1
Ruschia,NA,3
Russelia,NA,2
Ruta,NA,4
Rytidosperma,NA,11
Sabatia,NA,2
Sacciolepis,NA,3
Sageretia,NA,1
Salmea,NA,1
Salpichroa,NA,1
Salpiglossis,NA,1
Salvadora,NA,1
Salvinia,NA,4
Samolus,NA,2
Sanchezia,NA,2
Sandoricum,NA,1
Sanicula,NA,3
Sannantha,NA,1
Santalum,NA,1
Santolina,NA,2
Sanvitalia,NA,2
Sapindus,NA,3
Sapium,NA,2
Saponaria,NA,4
Saribus,NA,1
Sasa,NA,3
Sauromatum,NA,1
Saururus,NA,1
Sauvagesia,NA,1
Scadoxus,NA,1
Scandix,NA,1
Schefflera,NA,6
Schenkia,NA,1
Schinus,NA,5
Schisandra,NA,1
Schismus,NA,2
Schizachyrium,NA,5
Schizanthus,NA,1
Schizolobium,NA,1
Schizopepon,NA,1
Schizostachyum,NA,2
Schkuhria,NA,2
Schlagintweitia,NA,2
Schleichera,NA,1
Schmidtia,NA,1
Schotia,NA,1
Schwenckia,NA,1
Scilla,NA,14
Scirpoides,NA,1
Scleria,NA,3
Sclerocarpus,NA,1
Sclerochloa,NA,1
Sclerophylax,NA,1
Scolochloa,NA,1
Scolopia,NA,1
Scoparia,NA,2
Scopolia,NA,1
Scorpiurus,NA,1
Scorzonera,NA,4
Searsia,NA,1
Sebaea,NA,2
Secale,NA,3
Securigera,NA,4
Seemannia,NA,1
Selago,NA,2
Selenicereus,NA,8
Selinum,NA,1
Semiaquilegia,NA,1
Semiarundinaria,NA,1
Sequoia,NA,1
Sequoiadendron,NA,1
Sericocarpus,NA,1
Serissa,NA,1
Serjania,NA,1
Sesamoides,NA,1
Sesamum,NA,5
Sesbania,NA,13
Sesuvium,NA,4
Setaria,NA,25
Shepherdia,NA,1
Sherardia,NA,1
Shibataea,NA,1
Shinnersia,NA,1
Shortia,NA,1
Sibbaldianthe,NA,1
Sibthorpia,NA,1
Sicana,NA,1
Sicyos,NA,3
Sida,NA,19
Sidalcea,NA,3
Sidastrum,NA,2
Sideroxylon,NA,2
Sigesbeckia,NA,4
Silphium,NA,9
Silybum,NA,1
Simaba,NA,1
Sinacalia,NA,1
Sinapis,NA,4
Sindora,NA,1
Sinobambusa,NA,1
Sison,NA,1
Sisymbrella,NA,1
Sisymbrium,NA,15
Sisyrinchium,NA,18
Sium,NA,3
Smallanthus,NA,1
Smilax,NA,5
Smithia,NA,1
Smyrnium,NA,2
Solandra,NA,2
Soleirolia,NA,1
Solenogyne,NA,2
Solenopsis,NA,1
Soliva,NA,4
Sophora,NA,4
Sorbaria,NA,3
Sorghastrum,NA,2
Sorindeia,NA,1
Soymida,NA,1
Sparaxis,NA,6
Spartium,NA,1
Spathiphyllum,NA,1
Spathodea,NA,1
Spergula,NA,4
Spermacoce,NA,15
Spermolepis,NA,3
Sphaeralcea,NA,4
Sphaeranthus,NA,1
Sphaerophysa,NA,1
Sphaeropteris,NA,1
Sphallerocarpus,NA,1
Sphenoclea,NA,1
Sphenodesme,NA,1
Sphenopus,NA,1
Spigelia,NA,1
Spilanthes,NA,3
Spinacia,NA,2
Spirodela,NA,3
Spondias,NA,3
Staphylea,NA,1
Steinchisma,NA,2
Stemodia,NA,4
Stenanthium,NA,1
Stenocarpus,NA,1
Stenocereus,NA,1
Stenochlaena,NA,1
Stenotaphrum,NA,3
Stephanomeria,NA,1
Sterculia,NA,2
Stereospermum,NA,1
Sternbergia,NA,1
Stevia,NA,3
Stictocardia,NA,1
Stigmaphyllon,NA,2
Stipagrostis,NA,2
Stokesia,NA,1
Stratiotes,NA,1
Strelitzia,NA,2
Streptocarpus,NA,1
Streptosolen,NA,1
Striga,NA,5
Strobilanthes,NA,4
Stromanthe,NA,1
Strophanthus,NA,1
Strophostyles,NA,2
Struchium,NA,1
Strychnos,NA,2
Stuartina,NA,2
Stylophorum,NA,1
Stylosanthes,NA,7
Styphnolobium,NA,1
Styrax,NA,2
Succisa,NA,1
Succisella,NA,1
Succowia,NA,1
Symphoricarpos,NA,4
Symplocos,NA,1
Syncarpia,NA,1
Synedrella,NA,1
Synedrellopsis,NA,1
Syngonium,NA,3
Syringa,NA,12
Tabernaemontana,NA,4
Tacca,NA,1
Tadehagi,NA,2
Taeniatherum,NA,1
Tagetes,NA,7
Talinum,NA,2
Tamarindus,NA,1
Tanacetum,NA,10
Tarlmounia,NA,1
Taxandria,NA,3
Taxodium,NA,2
Taxus,NA,2
Tecoma,NA,6
Tecomella,NA,1
Tectona,NA,1
Teesdalia,NA,2
Telekia,NA,1
Telipogon,NA,1
Tellima,NA,1
Teramnus,NA,2
Tetraclinis,NA,1
Tetradenia,NA,1
Tetradium,NA,2
Tetragonia,NA,5
Tetraneuris,NA,1
Tetrapanax,NA,1
Tetrapteron,NA,1
Tetrastigma,NA,1
Tetrazygia,NA,1
Thalia,NA,2
Thamnocalamus,NA,1
Thapsia,NA,1
Thelepogon,NA,1
Thelesperma,NA,1
Themeda,NA,6
Theobroma,NA,1
Thermopsis,NA,4
Thesium,NA,1
Thespesia,NA,1
Thevetia,NA,1
Thladiantha,NA,1
Thlaspi,NA,7
Thuarea,NA,1
Thuja,NA,2
Thunbergia,NA,8
Thymophylla,NA,3
Thysanolaena,NA,1
Tiarella,NA,1
Tibouchina,NA,4
Tidestromia,NA,1
Tigridia,NA,1
Tilesia,NA,1
Tinantia,NA,1
Tinospora,NA,1
Tipuana,NA,1
Tiquilia,NA,1
Tithonia,NA,3
Tolmiea,NA,1
Toona,NA,2
Tordylium,NA,2
Torenia,NA,4
Torilis,NA,6
Torreya,NA,1
Tournefortia,NA,2
Trachelospermum,NA,2
Trachyandra,NA,1
Trachycarpus,NA,1
Trachypogon,NA,1
Trachyspermum,NA,1
Trachystemon,NA,1
Tragus,NA,5
Trapa,NA,2
Trema,NA,3
Trembleya,NA,1
Triadica,NA,1
Trianoptiles,NA,1
Triantha,NA,1
Trianthema,NA,2
Tribolium,NA,4
Tribulus,NA,3
Trichodesma,NA,2
Trichoneura,NA,1
Trichosanthes,NA,2
Tricyrtis,NA,2
Tridax,NA,1
Triglochin,NA,4
Trigonotis,NA,1
Trimezia,NA,4
Triodanis,NA,4
Triphasia,NA,1
Triphysaria,NA,1
Triplaris,NA,3
Triplasis,NA,1
Tripleurospermum,NA,5
Tripolium,NA,1
Tripsacum,NA,5
Triraphis,NA,2
Trisetaria,NA,1
Trisetum,NA,4
Tristagma,NA,1
Tristellateia,NA,1
Tristemma,NA,1
Tristerix,NA,1
Tritonia,NA,3
Triumfetta,NA,7
Tropidocarpum,NA,1
Tulbaghia,NA,1
Turgenia,NA,1
Turnera,NA,3
Turritis,NA,1
Tussilago,NA,1
Tynanthus,NA,1
Typhonium,NA,4
Typhonodorum,NA,1
Ugni,NA,1
Umbellularia,NA,1
Umbilicus,NA,1
Uncaria,NA,1
Uniola,NA,1
Uraria,NA,2
Urena,NA,3
Urochloa,NA,31
Urochondra,NA,1
Urospermum,NA,2
Ursinia,NA,2
Utricularia,NA,8
Valantia,NA,1
Valerianella,NA,13
Vallaris,NA,1
Vallisneria,NA,4
Vangueria,NA,1
Vanilla,NA,2
Vellereophyton,NA,1
Vellosiella,NA,1
Ventenata,NA,1
Verbesina,NA,5
Vernicia,NA,3
Vernoniastrum,NA,1
Veronicastrum,NA,1
Vestia,NA,1
Viburnum,NA,22
Vigna,NA,26
Viguiera,NA,1
Vinca,NA,4
Viscum,NA,1
Vitex,NA,7
Vittadinia,NA,5
Vittaria,NA,1
Volkameria,NA,4
Volutaria,NA,1
Wachendorfia,NA,1
Wahlenbergia,NA,6
Waldsteinia,NA,2
Waltheria,NA,1
Washingtonia,NA,2
Wedelia,NA,5
Westringia,NA,2
Wigandia,NA,1
Wissadula,NA,3
Wisteria,NA,3
Withania,NA,1
Wolffia,NA,3
Wolffiella,NA,2
Wollastonia,NA,1
Wrightia,NA,1
Xanthisma,NA,3
Xanthium,NA,10
Xanthorhiza,NA,1
Xanthosoma,NA,4
Xantolis,NA,1
Xeranthemum,NA,1
Xerochrysum,NA,2
Ximenia,NA,1
Xiphidium,NA,1
Xylosma,NA,1
Xyris,NA,4
Youngia,NA,1
Yushania,NA,1
Zaleya,NA,1
Zaluzianskya,NA,1
Zantedeschia,NA,2
Zanthoxylum,NA,1
Zapoteca,NA,1
Zea,NA,4
Zehneria,NA,1
Zelkova,NA,2
Zeltnera,NA,2
Zephyranthes,NA,14
Zeuxine,NA,1
Zingiber,NA,5
Zinnia,NA,5
Zizania,NA,4
Ziziphus,NA,2
Zornia,NA,6
Zostera,NA,2
Zygophyllum,NA,2
