"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Cotoneaster bullatus Bois"		"2cd4p9h.9xy"	"2cd4p9h.9xy"	"Cotoneaster bullatus Bois"	"Cotoneaster bullatus"	
"Cotoneaster dielsianus E.Pritz. ex Diels"		"2cd4p9h.9xr"	"2cd4p9h.9xr"	"Cotoneaster dielsianus E.Pritz. ex Diels"	"Cotoneaster dielsianus"	
"Cotoneaster nanshan M.Vilm. ex Mottet"		"2cd4p9h.9xz"	"2cd4p9h.9xz"	"Cotoneaster nanshan M.Vilm. ex Mottet"	"Cotoneaster nanshan"	
"Cotoneaster nitens Rehder & E.H.Wilson"		"2cd4p9h.9m2"	"2cd4p9h.9m2"	"Cotoneaster nitens Rehder & E.H.Wilson"	"Cotoneaster nitens"	
"Cotoneaster villosulus (Rehder & E.H.Wilson) Flinck & B.Hylmö"		"2cd4p9h.9m8"	"2cd4p9h.9m8"	"Cotoneaster villosulus (Rehder & E.H.Wilson) Flinck & B.Hylmö"	"Cotoneaster villosulus"	
"Euphorbia esula x waldsteinii = E. x pseudovirgata (Schur) Soó"		"2cd4p9h.9mh"	"2cd4p9h.9mh"	"Euphorbia esula x waldsteinii = E. x pseudovirgata (Schur) Soó"	"Euphorbia esula x waldsteinii = E. x pseudovirgata"	
"Phalaris brachystachys Link"		"2cd4p9h.9mk"	"2cd4p9h.9mk"	"Phalaris brachystachys Link"	"Phalaris brachystachys"	
"Pilosella praealta subsp. thaumasia (Peter) P.D.Sell"		"2cd4p9h.9np"	"2cd4p9h.9np"	"Pilosella praealta subsp. thaumasia (Peter) P.D.Sell"	"Pilosella praealta subsp. thaumasia"	
"Hieracium pulmonarioides Vill."		"2cd4p9h.9y0"	"2cd4p9h.9y0"	"Hieracium pulmonarioides Vill."	"Hieracium pulmonarioides"	
"Chloris virgata Sw."		"2cd4p9h.9yx"	"2cd4p9h.9yx"	"Chloris virgata Sw."	"Chloris virgata"	
"Urochloa panicoides P.Beauv."		"2cd4p9h.9pt"	"2cd4p9h.9pt"	"Urochloa panicoides P.Beauv."	"Urochloa panicoides"	
"Cotoneaster astrophoros J.Fryer & E.C.Nelson"		"2cd4p9h.9qp"	"2cd4p9h.9qp"	"Cotoneaster astrophoros J.Fryer & E.C.Nelson"	"Cotoneaster astrophoros"	
"Cotoneaster boisianus G.Klotz"		"2cd4p9h.9qs"	"2cd4p9h.9qs"	"Cotoneaster boisianus G.Klotz"	"Cotoneaster boisianus"	
"Cotoneaster cooperi C.Marquand"		"2cd4p9h.9r0"	"2cd4p9h.9r0"	"Cotoneaster cooperi C.Marquand"	"Cotoneaster cooperi"	
"Cotoneaster sherriffii G.Klotz"		"2cd4p9h.9r9"	"2cd4p9h.9r9"	"Cotoneaster sherriffii G.Klotz"	"Cotoneaster sherriffii"	
"Crocus ancyrensis (Herb.) Maw"		"2cd4p9h.9rx"	"2cd4p9h.9rx"	"Crocus ancyrensis (Herb.) Maw"	"Crocus ancyrensis"	
"Dipsacus laciniatus L."		"2cd4p9h.9rr"	"2cd4p9h.9rr"	"Dipsacus laciniatus L."	"Dipsacus laciniatus"	
"Erodium manescavii Coss."		"2cd4p9h.9rz"	"2cd4p9h.9rz"	"Erodium manescavii Coss."	"Erodium manescavii"	
"Festuca gautieri (Hack.) K.Richt."		"2cd4p9h.9s8"	"2cd4p9h.9s8"	"Festuca gautieri (Hack.) K.Richt."	"Festuca gautieri"	
"Galanthus elwesii x plicatus"		"2cd4p9h.9sb"	"2cd4p9h.9sb"	"Galanthus elwesii x plicatus"	"Galanthus elwesii x plicatus"	
"Galanthus reginae-olgae Orph."		"2cd4p9h.9se"	"2cd4p9h.9se"	"Galanthus reginae-olgae Orph."	"Galanthus reginae-olgae"	
"Jasminum beesianum Forrest & Diels"		"2cd4p9h.9sq"	"2cd4p9h.9sq"	"Jasminum beesianum Forrest & Diels"	"Jasminum beesianum"	
"Olearia avicenniifolia (Raoul) Hook.f."		"2cd4p9h.9t7"	"2cd4p9h.9t7"	"Olearia avicenniifolia (Raoul) Hook.f."	"Olearia avicenniifolia"	
"Onopordum nervosum Boiss."		"2cd4p9h.9tg"	"2cd4p9h.9tg"	"Onopordum nervosum Boiss."	"Onopordum nervosum"	
"Populus deltoides x trichocarpa = P. x generosa A.Henry"		"2cd4p9h.9tm"	"2cd4p9h.9tm"	"Populus deltoides x trichocarpa = P. x generosa A.Henry"	"Populus deltoides x trichocarpa = P. x generosa"	
"Symphoricarpos orbiculatus Moench"		"2cd4p9h.9z6"	"2cd4p9h.9z6"	"Symphoricarpos orbiculatus Moench"	"Symphoricarpos orbiculatus"	
"Rubus phoenicolasius Maxim."		"2cd4p9h.a1w"	"2cd4p9h.a1w"	"Rubus phoenicolasius Maxim."	"Rubus phoenicolasius"	
"Cotoneaster hummelii J.Fryer & B.Hylmö"		"2cd4p9h.a20"	"2cd4p9h.a20"	"Cotoneaster hummelii J.Fryer & B.Hylmö"	"Cotoneaster hummelii"	
"Cotoneaster pseudoambiguus J.Fryer & B.Hylmö"		"2cd4p9h.a23"	"2cd4p9h.a23"	"Cotoneaster pseudoambiguus J.Fryer & B.Hylmö"	"Cotoneaster pseudoambiguus"	
"Sasa veitchii (Carrière) Rehder"		"2cd4p9h.a65"	"2cd4p9h.a65"	"Sasa veitchii (Carrière) Rehder"	"Sasa veitchii"	
"Spiraea japonica L.f."		"2cd4p9h.a6e"	"2cd4p9h.a6e"	"Spiraea japonica L.f."	"Spiraea japonica"	
"Camelina sativa (L.) Crantz"		"2cd4p9h.a6t"	"2cd4p9h.a6t"	"Camelina sativa (L.) Crantz"	"Camelina sativa"	
"Solanum tuberosum L."		"2cd4p9h.a71"	"2cd4p9h.a71"	"Solanum tuberosum L."	"Solanum tuberosum"	
"Triticum aestivum L."		"2cd4p9h.a77"	"2cd4p9h.a77"	"Triticum aestivum L."	"Triticum aestivum"	
"Euonymus japonicus Thunb."		"2cd4p9h.a7a"	"2cd4p9h.a7a"	"Euonymus japonicus Thunb."	"Euonymus japonicus"	
"Nigella damascena L."		"2cd4p9h.a7g"	"2cd4p9h.a7g"	"Nigella damascena L."	"Nigella damascena"	
"Fascicularia bicolor (Ruiz & Pav.) Mez"		"2cd4p9h.a7m"	"2cd4p9h.a7m"	"Fascicularia bicolor (Ruiz & Pav.) Mez"	"Fascicularia bicolor"	
"Campanula lactiflora M.Bieb."		"2cd4p9h.a7p"	"2cd4p9h.a7p"	"Campanula lactiflora M.Bieb."	"Campanula lactiflora"	
"Symphytum grandiflorum DC."		"2cd4p9h.a7s"	"2cd4p9h.a7s"	"Symphytum grandiflorum DC."	"Symphytum grandiflorum"	
"Geranium ibericum x platypetalum = G. x magnificum Hyl."		"2cd4p9h.a80"	"2cd4p9h.a80"	"Geranium ibericum x platypetalum = G. x magnificum Hyl."	"Geranium ibericum x platypetalum = G. x magnificum"	
