"key","taxonId.x","hybrid_species","parents","name","taxonId.y","native_status","StaceIV_nativity","native_combined"
"Carex riparia x vesicaria = C. x csomadensis Simonk.","2cd4p9h.2gy","Carex x csomadensis Simonk.","parent2","Carex vesicaria","2cd4p9h.xfc","N","N","native"
"Carex dioica x echinata = C. x gaudiniana Guthnick","2cd4p9h.2gr","Carex x gaudiniana Guthnick","parent1","Carex dioica","2cd4p9h.va2","N","N","native"
"Carex dioica x echinata = C. x gaudiniana Guthnick","2cd4p9h.2gr","Carex x gaudiniana Guthnick","parent2","Carex echinata","2cd4p9h.8et","N","N","native"
"Elaeagnus macrophylla x pungens = E. x submacrophylla Servett.","2cd4p9h.2th","Elaeagnus x submacrophylla Servett.","parent1","Elaeagnus macrophylla",NA,NA,"Neo-surv","neophyte"
"Elaeagnus macrophylla x pungens = E. x submacrophylla Servett.","2cd4p9h.2th","Elaeagnus x submacrophylla Servett.","parent2","Elaeagnus pungens",NA,NA,"Neo-surv","neophyte"
"Echium pininana x webbii = E. x scilloniensis hort., nom. nud.","2cd4p9h.2z4","Echium x scilloniensis hort., nom. nud.","parent1","Echium pininana",NA,NA,"Neo-natd","neophyte"
"Echium pininana x webbii = E. x scilloniensis hort., nom. nud.","2cd4p9h.2z4","Echium x scilloniensis hort., nom. nud.","parent2","Echium webbii",NA,NA,NA,NA
"Carex acuta x acutiformis = C. x subgracilis Druce","2cd4p9h.315","Carex x subgracilis Druce","parent1","Carex acuta","2cd4p9h.bp9","N","N","native"
"Carex acuta x acutiformis = C. x subgracilis Druce","2cd4p9h.315","Carex x subgracilis Druce","parent2","Carex acutiformis","2cd4p9h.yf3","N","N","native"
"Calystegia pulchra x silvatica = C. x howittiorum Brummitt","2cd4p9h.327","Calystegia x howittiorum Brummitt","parent1","Calystegia pulchra","2cd4p9h.g0n","AN","Neo-natd","neophyte"
"Calystegia pulchra x silvatica = C. x howittiorum Brummitt","2cd4p9h.327","Calystegia x howittiorum Brummitt","parent2","Calystegia silvatica","2cd4p9h.bym","AN","Neo-natd","neophyte"
"Rosa agrestis x canina = R. x belnensis Ozanon","2cd4p9h.34n","Rosa x belnensis Ozanon","parent1","Rosa agrestis","2cd4p9h.1qr","N","N","native"
