id	relatedResourceID	relationshipOfResource
27907	27906	hybrid parent of
5081	5079	hybrid parent of
5081	5088	hybrid parent of
4830	5079	hybrid parent of
4830	4828	hybrid parent of
28156	6788	hybrid parent of
28156	6763	hybrid parent of
27246	4644	hybrid parent of
27246	4652	hybrid parent of
28322	4104	hybrid parent of
28322	4115	hybrid parent of
28372	8825	hybrid parent of
28372	8832	hybrid parent of
28391	4815	hybrid parent of
28391	4958	hybrid parent of
28436	8700	hybrid parent of
28436	8713	hybrid parent of
8723	8668	hybrid parent of
8723	8713	hybrid parent of
28464	7725	hybrid parent of
28464	7596	hybrid parent of
8016	7725	hybrid parent of
8016	7601	hybrid parent of
9671	8657	hybrid parent of
9671	8686	hybrid parent of
28522	5387	hybrid parent of
28522	5390	hybrid parent of
3503	27639	hybrid parent of
3503	3499	hybrid parent of
6192	6178	hybrid parent of
6192	6188	hybrid parent of
19077	28612	hybrid parent of
19077	19072	hybrid parent of
28654	9542	hybrid parent of
28654	9543	hybrid parent of
4793	23712	hybrid parent of
4793	4797	hybrid parent of
5420	22036	hybrid parent of
5420	5414	hybrid parent of
5194	28432	hybrid parent of
5194	4910	hybrid parent of
28713	3633	hybrid parent of
28713	3634	hybrid parent of
28716	8860	hybrid parent of
28716	8874	hybrid parent of
28719	9067	hybrid parent of
28719	9131	hybrid parent of
28769	8929	hybrid parent of
28769	8931	hybrid parent of
28772	8920	hybrid parent of
28772	8929	hybrid parent of
6234	6222	hybrid parent of
6234	6219	hybrid parent of
18134	7458	hybrid parent of
29084	9069	hybrid parent of
29084	9070	hybrid parent of
3506	3486	hybrid parent of
3506	3444	hybrid parent of
4778	5050	hybrid parent of
4778	4774	hybrid parent of
4871	5112	hybrid parent of
4871	4869	hybrid parent of
5156	5050	hybrid parent of
5156	4951	hybrid parent of
5190	5050	hybrid parent of
5190	5104	hybrid parent of
5201	23712	hybrid parent of
5201	4924	hybrid parent of
8744	20034	hybrid parent of
8744	8732	hybrid parent of
9471	9462	hybrid parent of
9471	9465	hybrid parent of
26576	3486	hybrid parent of
26576	3499	hybrid parent of
9469	9462	hybrid parent of
9469	9467	hybrid parent of
29117	3239	hybrid parent of
29117	3235	hybrid parent of
5153	4892	hybrid parent of
5153	4741	hybrid parent of
29150	21750	hybrid parent of
29150	5608	hybrid parent of
29155	5612	hybrid parent of
29155	21750	hybrid parent of
6232	29176	hybrid parent of
6232	6218	hybrid parent of
15481	5059	hybrid parent of
15481	5136	hybrid parent of
6169	16605	hybrid parent of
6169	6152	hybrid parent of
17313	6643	hybrid parent of
17313	6641	hybrid parent of
9536	9486	hybrid parent of
9536	9522	hybrid parent of
9532	9491	hybrid parent of
9532	9527	hybrid parent of
9534	9498	hybrid parent of
9534	9486	hybrid parent of
9535	9498	hybrid parent of
9535	9502	hybrid parent of
9531	9498	hybrid parent of
9531	9522	hybrid parent of
29352	9479	hybrid parent of
29352	9488	hybrid parent of
9189	9069	hybrid parent of
9189	9111	hybrid parent of
5157	4741	hybrid parent of
5157	5104	hybrid parent of
5284	29908	hybrid parent of
5284	5278	hybrid parent of
29326	9507	hybrid parent of
29326	9498	hybrid parent of
30004	9111	hybrid parent of
30004	9119	hybrid parent of
4656	30197	hybrid parent of
4656	4650	hybrid parent of
4654	30197	hybrid parent of
4654	4641	hybrid parent of
30254	9473	hybrid parent of
30254	9491	hybrid parent of
30319	30317	hybrid parent of
30321	30323	hybrid parent of
30321	30324	hybrid parent of
2851	2848	hybrid parent of
2851	2847	hybrid parent of
30359	8918	hybrid parent of
30359	8886	hybrid parent of
