family,genus,rn.bl,bn.bl,nspp_in_genera,div_rate_basal_age_upper,div_rate_basal_age_lower,div_rate_root_age_upper,div_rate_root_age_lower,hyb_present,neo_present,type
Solanaceae,Anthotroche,6.00849300000004,1.01469,3,1.0827073181642766,0.1796820278054919,0.18284323351431092,0.030343974236793383,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Grammosolen,6.36637800000005,0.633983,2,1.0933213990910566,0.15033554496622928,0.10887622138678223,0.014970864093260592,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Anthocercis,7.03070300000007,3.54918,13,0.7226878764845787,0.22215197886956145,0.3648211789719337,0.11214488229189346,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Symonanthus,14.318277,1.753191,2,0.39536318664648934,0.05436383132489554,0.04840995746624718,0.006656539736193463,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Schwenckia,17.733917,13.779549,21,0.2209449988329388,0.07972773917840922,0.17167794558435245,0.06194978180331562,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Heteranthia,17.733918,17.733918,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Brunfelsia,24.143704,9.659661,53,0.4110177275943868,0.1888833668232297,0.16444419272006158,0.07557039682275121,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Hunzikeria,16.196715,16.196715,3,0.0678293276549047,0.011256699694595761,0.0678293276549047,0.011256699694595761,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Leptoglossis,16.196715,16.196715,6,0.11062486863713135,0.02503378667267803,0.11062486863713135,0.02503378667267803,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Petunia,7.42301900000001,0.643419,20,4.655958673203606,1.6547704326301031,0.4035732999678415,0.14343365374552144,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Calibrachoa,7.42301900000001,4.339932,31,0.7912536888792604,0.3194276687099914,0.4626132850374143,0.18675613805109328,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Fabiana,11.36118,11.36118,15,0.23835994158196686,0.07705790572404449,0.23835994158196686,0.07705790572404449,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Cestrum,4.97529200000002,2.544407,230,2.1372678619903165,1.2473941704049174,1.0930171151609138,0.6379280771736517,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Sessea,4.975293,4.975293,19,0.5918121765223556,0.20694648881606736,0.5918121765223556,0.20694648881606736,no hybrid,no neophyte,no hybrid & no neophyte
